Index	Los PJs deben	objeto	personaje	complicación	Protagonista	Desea	enemigo	Enfrenta	Necesita	Al final	lugar	objeto	adj	adj2	Medieval - Taberna - Nombre	Medieval - Taberna - Adjetivo	Comida 1	Comida 2	Comida 3	bebida 1	bebida 2	Trampas - Elemento	Trampas - Acción	Trampas - Desencadenante	PNJ profesion	PNJ Origen	PNJ Carácter	PNJ Aspecto	PNJ Especial	Medieval - Personaje	Medieval - Acción	Medieval - Lugar	Medieval - Objeto	Medieval - Evento	Medieval - Criatura	Medieval - Organización	Dungeon - Objeto	Dungeon - Evento	Dungeon - tipo	símbolo - obj	escudo - color	escudo - campo	símbolo - color	Trama PNJ 1	Trama PNJ 2	deidad - ambitos	deidad - adorador	deidad - sacerdotes	deidad - ritos	deidad-arquitectura	poción - textura	poción - tipo	poción - efecto secundario	lugar - color	lugar - nom	lugar - ref	objeto	adj_norm	Nombres - FR - Male
196															La Copa												lacónico		su negocio se va a pique	Sultán	Secuestrar	Túmulo		Tormenta			tarros		sala de belleza	un cubo				un testigo	quiere salvar a	sierpes										del escudero	la reliquia		Nhufoav
197															La Copa												lastimero		suele blasfemar	Sumo sacerdote	Seguir	Túnel		Torneo			frascos		cuarto de tortura	un cuadrado				un tíflin	quiere saquear el pueblo de	serpientes										del caballo	la resurrección		Yctullmegh
198															La Corona												legal		"suele decir: ""¡no puede ser cierto!"""	Superviviente	Sellar	Vado		Trampa			utensilios de alquimia		sala de torturas	un pentágono				un timador	quiere las tierras de	arañas										del toro	la riqueza		Flualschoh
199															La Cripta												lenguaraz		"suele decir: ""¡viva el rey!"""	Tabernero	Sembrar	Valle		Travesía			un tocador		sala de justicia	una runa				un torturador	quiere la bancarrota de	escorpiones										del basilisco	la roca		Imyzaps
200															La Cuchara												lento		"suele decir: ""¿cómo dices?"""	Terrateniente	Sentenciar	Villa		Tributo			una camilla		tribunal	un anagrama				un traidor	quiere las posesiones de	veneno										del cieno	la runa		Uisowunm
201															La Cuerda												lisonjero		"suele decir: ""¿has oído eso?"""	Testigo	Sobrevivir	Volcán		Turba			una cama		sala de ajusticiamiento	una letra				un trampero	desea a la pareja de	enfermedad										de barro	la sabiduría		Ehlohghaut
202															La Cueva												locuaz		"suele decir: ""¿no sabes con quién estás hablando?"""	Tíflin	Soñar	Vórtice		Vacío de poder			un camastro		sala de interrogatorios	un glifo				un trotamundos	funda una secta junto a	putrefacción										de plomo	la sanación		Szilndeior
203															La Cumbre												lujurioso		"suele decir: ""¿tienes una moneda?"""	Timador	Sumergir	Zigurat		Velatorio			una horca		corredor de la muerte	un símbolo				un usurero	funda un gremio junto a	sabandijas										de la luz	la sangre		Gheelbroun
204															La Daga												mal genio		"suele decir: ""¿tu nombre era…?"""	Torturador	Talar			Ventisca			una guillotina		ala de sacrificios	un número				un usurpador	llega tarde a una cita con	licantropía										de la oscuridad	la suerte		Welgest
205															La Doncella												mal hablado		"suele decir: ""esto me huele muy mal"""	Traidor	Tejer			Verano			unas cadenas		cercado	una oreja				un vagabundo	quiere convertirse en	odio										de la magia	la sustancia		Cerlthomr
206															La Dríada												maleducado		suele encogerse de hombros	Trampero	Teleportar			Verbena			unas poleas		campo	un pendiente				un vasallo	ha sido polimorfado en	soberbia										del poder	la tierra		Ghairngevbik
207															La Empanada												malhumorado		sueña con el futuro	Trotamundos	Traicionar			Viaje			un barril de comida		cultivo	un hexágono				un verdugo	quiere usurpar la posición de	narcisismo										de la debilidad	la tiranía		Unaurktir
208															La Escalera												malicioso		sufre aracnofobia	Usurero	Transformar			Victoria			una caja de víveres		terraza	un heptágono				un viajero	quiere comprar algo en posesión de	nobleza										de la tristeza	la torre		Oszaek
209															La Escudilla												manazas		sufre de alucinaciones ocasionales	Usurpador	Transportar			Visita diplomática			una alacena		taller	un octógono				un vidente	duda si vender algo a	paciencia										del adiós	la traición		Vheruulfein
210															La Espada												mandón		sufre de doble personalidad	Vagabundo	Trasladar						una mesa de comedor		faro	un eneágono				un vigía	vendió algo a	ira										del regalo	la transformación		Qhelsaeg
211															La Especia												marrullera		sufre insomnio	Vasallo	Usurpar						un sofá		camarote	un polígono				un visir	regaló algo a	justo castigo										del presente	la tumba		Outhisbluid
212															La Espuela												melancólico		sufre jaquecas	Verdugo	Vaciar						una butaca		camarín	un poliedro				un aprendiz	recibió algo de	competición										del pasado	la varita		Eaenrerth
213															La Estrella												mentiroso		sufre una extraña enfermedad	Viajero	Vagar						un taburete		cadalso	un tetraedro				una mujer	recibió un regalo de	deporte										del futuro	la vida		Ugoureim
214															La Falda												meticuloso		sufre undefecto de pronunciación	Vidente	Vender						migas de pan		barbacana	un pergamino				una esposa	vendió a	fuerza										del oráculo	la voluntad		Urthriien
215															La Flauta												mezquino		sufrió una tragedia familiar	Vigía	Viajar						pan rancio		vestíbulo	una sandía				una concubina	compró como esclavo a	agilidad										de los sueños	las alturas		Yndeior
216															La Flecha												narcisista		tartamudea	Visir	Volar						unas plumas			una calabaza				una amante	quiere esclarecer un crimen sobre	destreza										de la doncella	las arenas		Eubops
217															La Fritura												nervioso		teme que le roben	Aprendiz							una almohada			una pera				un villano		misericordia										del heredero	las botas		Jaolgryshtiph
218															La Fruta												neurótico		tiene acento extranjero	Mujer							cubiertos			una zanahoria				un burgomaestre		perdón										de los pesares	las hadas		Tzsiph
219															La Fusta												noble		tiene algún prejuicio	Esposa							tazas			un conejo				un maestre		conquista										de la añoranza	las ilusiones		Sriissysh
220															La Ganzúa												observador		tiene alma de bardo	Concubina							copas			una liebre				un maestro		esclavitud										de la compasión	las mentes		Vheniunglykh
221															La Gema												obstinado		tiene alma de comerciante	Amante							vasos			un chacal				un rebelde		liberación										de la guerra	las montañas		Ulstuild
222															La Gruta												ocurrente		tiene andares elásticos	Villano							platos			un camello				un hechicero		sosiego										de la victoria	las nubes		Mrenveirjok
223															La Guadaña												olvidadizo		tiene antecedentes militares	Burgomaestre							fuentes			un elefante				una hechicera		calma										de la derrota	las perlas		Proulpirt
224															La Guarida												optimista		tiene debilidad por el sexo opuesto	Maestre							cuencos			un león				una bruja		paz										de la conquista	las plagas		Jhokegheemd
225															La Harina												ordenado		tiene dientes de menos	Maestro							un tintero			un lagarto				una saga		hambre										del recuerdo	las profundidades		Gylzad
226															La Hidra												orgulloso		tiene fobia a algo	Drow							una carta			una medusa				un ilícido		austeridad										de la rebelión	las sabandijas		Pelaxiunm
227															La Hierba												pacífico		tiene la mirada perdida	Príncipe Elfo							una misiva			un centauro				un dragón		vanidad										de los esclavos	las sierpes		Nheemympam
228															La Hogaza												palurdo		tiene mal aliento	Rey Enano							un pergamino			un buitre				un drow		humildad										del honor	las tierras		Piyanilef
229															La Honda												paranoico		tiene manos temblorosoas	General Enano							una nota			un azor				un contemplador		sencillez										de la libertad	los ajenos		Scain
230															La Hoz												peleón		tiene parásitos	Mediano							un panfleto			una gaviota				un rey elfo		esfuerzo										de la liberación	los ángeles		Jhahuutheim
231															La Infusión												pendenciero		tiene sed de venganza	Gnomo							un aviso			un pez espada				un príncipe elfo		trampa										de la gloria	los arcanos		Proulemn
232															La Jabalina												perezoso		tiene un acento gracioso	Saqueador							una señal			un salmón				un rey enano		engaño										del campeón	los bienes		Siunniomut
233															La Jarra												perfeccionista		tiene un aliento fétido	Mercenario							una marca			una trucha				un general enano		decepción										del sacerdote	los cadáveres		Plaimtix
234															La Joya												perseverante		tiene un andar peculiar	Bucanero							una advertencia			una carpa				un mediano		sombras										del ermitaño	los cielos		Kluezbalph
235															La Judía												perspicaz		tiene un don con los animales	Cambiaformas							manchas de sangre			una tienda				un gnomo		ocultismo										del topo	los demonios		Chrymmgil
236															La Lanza												pertinaz		tiene un extraño don mágico	Joyero							un ara			un telar				un hada		secretismo										del escarabajo	los deseos		Nchiaveil
237															La Lápida												pesimista		tiene un gemelo malvado	Bardo							una fogata			una rueca				un genio		novedad										del faraón	los diablos		Ethscauth
238															La Lechuga												petimetre		tiene un grupo de seguidores	Actor							un fuego improvisado			un pozo				un diablo		creación										del sha	los diamantes		Scirjyos
239															La Lengua												piadoso		tiene un hijo bastardo	Intérprete							un campamento			unas grebas				un demonio		matrimonio										del emir	los dioses		Sklasherth
240															La Lira												pícaro		tiene un hobby característico (pesca, caza…)	Saqueador de tumbas							una tienda			un rostro				un ángel		mentira										del sultán	los dragones		Ygmerfyrst
241															La Lluvia												polemista		tiene un objeto único	Ilusionista							un saco de dormir			una máscara				un aasimar		traición										de la vela	los drow		Fzethocc
242															La Mansión												práctico		tiene un olor corporal intenso	Conjurador							harina			un racimo de uvas				un deva		decencia										de la cuchara	los ejércitos		Lhiolqesyrth
243															La Manta												preguntón		tiene un peinado extraño	Emisario							cereal							un modrón		castidad										del cuenco	los elfos		Droothmest
244															La Manzana												prepotente		tiene un sueño recurrente								vino barato							un planodeudo		templanza										del tenedor	los enanos		Fzooragn
245															La Maza												presumido		tiene un talismán o fetiche								vino de buena calidad							un semidemonio		virtud										de la daga	los enemigos		Omthaeuil
246															La Mazmorra												presuntuoso		tiene un tatuaje especial								cerveza							un saqueador		independencia										del laúd	los esclavos		Phlakurnd
247															La Moneda												pródigo		tiene un tic nervioso								una pintura							un mercenario		soledad										del arpa	los gigantes		Isythchior
248															La Montaña												prudente		tiene una enfermedad desagradable	Vampiro							un fresco							un bucanero		azar										de la manzana	los horrores		Aithtlylshom
249															La Morada												pulcro		tiene una marca de nacimiento	Noble							tapices							un cambiaformas		entrenamiento										del ciervo	los huesos		Ulvriimym
250															La Muerte												pusilánime		tiene una mascota								una lámpara de pie							un joyero		gemas										de la cereza	los ilícidos		Eighaem
251															La Nave												rácano		tiene una misión que cumplir								antorchas							un bardo		vigilancia										de la naranja	los magos		Doanu
252															La Niebla												racista		tiene una tos seca								una cúpula							un actor		violación										de la calabaza	los mares		Mot
253															La Nieve												realista		tiene vértigo								hierbajos							un intérprete												de la cebolla	los mundos		Owlauosz
254															La Ninfa												rebelde		tuerto								un casco							un saqueador de tumbas												de la patata	los planos		Oomglagnol
255															La Olla												reflexivo		va siempre perfumado								un arma							un ilusionista												del tomate	los portales		Nphrylull
256															La Oreja												reformista		ve conspiraciones en todas partes								un yunque							un conjurador												de la lechuga	los reinos		Xriyeoss
257															La Oveja												relamido		viene de un linaje proscrito								algunas herramientas							un emisario												del guisante	los reptiles		Uganurzeth
258															La Pala												reservado		vive al margen de la ley								una alarma							un fantasma													los reyes		Amwusomthy
259															La Palanca												retraído		vive un amor prohibido								unas sábanas							un espíritu													los rubíes		Cutha
260															La Patata												reverente		vivió una relación incestuosa								un cofre							un espectro													los tesoros		Thathtodt
261															La Pera												riguroso		vivió una relación que mantiene en secreto								un baúl							un liche													los tritones		Stierldeh
262															La Piedra												sabelotodo		se encuentra en una misión								un arcón							un vampiro													los vientos		Yorlshad
263															La Pimienta												sabihondo		busca aventureros								un escudo							un noble													el saco		Nhispal
264															La Pluma												sabio		recibió una herencia hace poco								un joyero																				la cuerda		Indjaesk
265															La Polea												sacrificado		llora con cualquier cosa								unos cajones																				la joya		Nhasobeyg
266															La Posada												sádico										un banco																				la perdición		Uzstyrzalb
267															La Puerta												sagaz										un asiento																				la espesura		Yulann
268															La Puta												sarcástico										una lanza																				el laúd		Elnshedeph
269															La Rana												segundón										una saca																				el cerebro		Ellbaugn
270															La Rata												serio										una valla																				el cuerno		Klielyphat
271															La Reina												servicial										una verja																				el guantelete		Doardheszor
272															La Rueda												servil										unos tomates																				el sultán		Cviusliadd
273															La Ruleta												severo										unas manzanas																				el emperador		Piyar
274															La Sábana												simpático										ratas																				el mensajero		Irdandlo
275															La Sal												simplón										lagartijas																				el ermitaño		Dhaerzunn
276															La Sal												sin sentido común										una lápida																				el escarabajo		Stathvolm
277															La Salchicha												soberbio										un ataúd																				el faraón		Qezlauos
278															La Sartén												sobrio										una luz mágica																				el sha		Rratholp
279															La Serpiente												socarrón										un estrado																				el emir		Hlarhthovrumd
280															La Silla De Montar												sociable										un trono																				el sacerdote		Brinvyn
281															La Soga												soez										una silla																				el monje		Cthirdhadelp
282															La Sopa												sofisticado										una baraja																				el campeón		Chsepham
283															La Tarta 												sombrío										unas tabas																				el paladín		Trievyt
284															La Taza												soñador										un espejo																				el héroe		Yalouv
285															La Tienda												soñoliento										un cajón																				el guerrero		Tsulhoul
286															La Torre												soso										alfombras																				la estatua		Whelauos
287															La Tumba												sospechoso										unas pieles																				la estatuilla		Goumeila
288															La Túnica												sucio										un caldero																				la figura		Ferkaess
289															La Vaca												sumiso										una marmita																				la figurita		Ghurnduan
290															La Varita												susceptible										un desagüe																				el honor		Dhullauos
291															La Vela												suspizaz										un pozo																				el pasado		Oolpherf
292															La Ventana												tacaño										una jardinera																				el adiós		Zzartirs
293															La Verdura												taciturno										una escultura																				la debilidad		Bhaerlstih
294															Las Riendas												tarambana										estatuas																				el tratado		Mruelorsh
295															Las Uvas												temerario										un mural																				el pacto		Mhesulgiankh
296															El Buey												temperamental										lava																				el círculo		Splyon
297															El Minotauro												tenaz										goteras																				la cábala		Luvbengh
298															La Mantícora												testarudo										humedades																				la secta		Onivvaeth
299															La Sepia												tierno										baldosines																				la congregación		Nelshiersh
300															El Pulpo												tímido										un mosaico																				la alianza		Skleem
301															El Kraken												titubeante										ventanas																				la unión		Gylsar
302															El Calamar												tolerante										arpilleras																				la tristeza		Renthrar
303															El Ciervo												tontorrón										un catalejo																				las lágrimas		Crendyn
304															El Oso												torpe										moscas																				la lluvia		Bander
305															El Juglar												tosco										un cable																				las rocas		Havroth
306															El Bufón												traicionero										un acertijo																				el basilisco		Spuldold
307																											tramposo										unos versículos																				el bufón		Thandimp
308																											trapicheador										un calendario																				el bandido		Jheldrus
309																											tratable										un mapa																				el libertador		Mast
310																											tristón										una gárgola																				el liberador		Ilbon
311																											trotamundos										una cuerda																				el circo		Taeron
312																											vacilante										una soga																				la arena		Ar
313																											vago										una rueda																				la bruja		Photulder
314																											valeroso										una rueca																				el rey		Celthar
315																											valiente										un montón de paja																				el mago		Drentan
316																											veleidoso										un árbol																				el hechicero		Sselalon
317																											vengativo										un montón de leña																				el nigromante		Ollbalor
318																											veraz										un tocón																				el liche		Narnol
319																											vergonzoso										una barra																				el contemplador		Adirm
320																											violento										un botellero																				los liches		Arnern
321																											vivaracho										un fogón																				los nigromantes		Vulol
322																											voluntarioso										un torno																				los hechiceros		Klauos
323																											llorón										unos grilletes																				las brujas		Anneus
324																																					unas aldabas																				los druidas		Hymbrer
325																																					unas almenas																				el druida		Aduill
326																																					una almenara																				los paladines		Hulvym
327																																					un ánfora																				los caballeros		Buntam
328																																																									los adoradores		Ouldav
329																																																									los seguidores		Ulaern
330																																																									los siervos		Raltros
331																																																									los discípulos		Riben
332																																																									el siervo		Oldrur
333																																																									el amo		Irv
334																																																									los amos		Phondal
335																																																									los señores		Serneran
336																																																									el señor		Varg
337																																																									la leyenda		Uinsresk
338																																																									las leyendas		Kher
339																																																									el canto		Jontlaer
340																																																											Thorart
341																																																											Shontelken
342																																																											Kondum
343																																																											Iyramm
344																																																											Senthust
345																																																											Olan
346																																																											Szummyl
347																																																											Kleler
348																																																											Bressan
349																																																											Preldem
350																																																											Davilon
351																																																											Irdyglengir
352																																																											Messer
353																																																											Irndanuth
354																																																											Aelrer
355																																																											Ildagh
356																																																											Fermorrer
357																																																											Bomildin
358																																																											Endelork
359																																																											Tayleld
360																																																											Rintuth
361																																																											Peruphe
362																																																											Daeltundo
363																																																											Aurliir
364																																																											Yanir
365																																																											Bost
366																																																											Oreel
367																																																											Jolbilan
368																																																											Jaerur
369																																																											Jethrur
370																																																											Oldarom
371																																																											Bunlas
372																																																											Taslyl
373																																																											Flymre
374																																																											Rirn
375																																																											Laurnost
376																																																											Phirok
377																																																											Hele
378																																																											Ittar
379																																																											Amilktir
380																																																											Szaruil
381																																																											Furthaes
382																																																											Arron
383																																																											Coglek
384																																																											Mommis
385																																																											Thaleszmes
386																																																											Thingash
387																																																											Outhil
388																																																											Rolbaen
389																																																											Relont
390																																																											Thaur
391																																																											Tedosk
392																																																											Athtuth
393																																																											Brariel
394																																																											Mylter
395																																																											Vlanthir
396																																																											Irdaen
397																																																											Tordryr
398																																																											Dardir
399																																																											Bluvaerer
400																																																											Kolmun
401																																																											Bretchom
402																																																											Arnor
403																																																											Gergahn
404																																																											Rhereir
405																																																											Lendar
406																																																											Shoglo
407																																																											Barbond
408																																																											Biryrak
409																																																											Dylgarek
410																																																											Nilarth
411																																																											Therth
412																																																											Rovyn
413																																																											Szorktilur
414																																																											Dolmas
415																																																											Eririss
416																																																											Thanelor
417																																																											Ahunur
418																																																											Ummiamom
419																																																											Krelil
420																																																											Alkur
421																																																											Paulel
422																																																											Orileim
423																																																											Blothlar
424																																																											Yulathon
425																																																											Halph
426																																																											Umverer
427																																																											Jhehregh
428																																																											Thurem
429																																																											Urban
430																																																											Kerlar
431																																																											Prelbuth
432																																																											Yanspron
433																																																											Dathendum
434																																																											Rulven
435																																																											Ommgi
436																																																											Tard
437																																																											Verlaco
438																																																											Daen
439																																																											Aldus
440																																																											Oldus
441																																																											Jhestun
442																																																											Felelakh
443																																																											Adjer
444																																																											Hernd
445																																																											Damuron
446																																																											Sabbyr
447																																																											Hunthul
448																																																											Drorilir
449																																																											Bravvor
450																																																											Strylyr
451																																																											Lheras
452																																																											Borus
453																																																											Ambror
454																																																											Vasor
455																																																											Alooler
456																																																											Thual
457																																																											Argurn
458																																																											Bhaelun
459																																																											Gelen
460																																																											Alsprer
461																																																											Thoryrer
462																																																											Glalvel
463																																																											Har
464																																																											Ogluar
465																																																											Ausmus
466																																																											Eirolbus
467																																																											Ondrin
468																																																											Tholubas
469																																																											Merdailuth
470																																																											Cuthar
471																																																											Thialer
472																																																											Narelt
473																																																											Raentyr
474																																																											Andun
475																																																											Deleer
476																																																											Udran
477																																																											Maegler
478																																																											Thoeld
479																																																											Brald
480																																																											Buske
481																																																											Thendon
482																																																											Sylsathten
483																																																											Otheloth
484																																																											Uttal
485																																																											Insuler
486																																																											Terlerd
487																																																											Dhallen
488																																																											Jhergand
489																																																											Vrululd
490																																																											Gerbilkan
491																																																											Kernun
492																																																											Ostergal
493																																																											Crylleth
494																																																											Jes
495																																																											Alyr
496																																																											Largre
497																																																											Buthlar
498																																																											Tharint
499																																																											Sertham
500																																																											En
501																																																											Griyeott
502																																																											Eprekkydhi
503																																																											Tzsytchauq
504																																																											Shiiorn
505																																																											Ayelddeuh
506																																																											Ephuch
507																																																											Chronuuw
508																																																											Ilbaolp
509																																																											Ixuodhiov
510																																																											Acheuthl
511																																																											Ol
512																																																											Cluulag
513																																																											Lzildiofdach
514																																																											Nphredhuz
515																																																											Qhuacerh
516																																																											Mnuorglyw
517																																																											Shazri
518																																																											Phoélusp
519																																																											Yrlkul
520																																																											Drijikh
521																																																											Nethgehra
522																																																											Teethtûge
523																																																											Siphegly
524																																																											Jhaorlphûkh
525																																																											Driiochyth
526																																																											Mued
527																																																											Tseimûbhyf
528																																																											Quanskys
529																																																											Uviiokh
530																																																											Dlyzaéth
531																																																											Uikheymro
532																																																											Vhuolstrûkh
533																																																											Zzinsiirm
534																																																											Chsemzethus
535																																																											Immlyph
536																																																											Cvorjammirt
537																																																											Nphrocmal
538																																																											Splerhuch
539																																																											Shrykhullph
540																																																											Whurtrenn
541																																																											Nriulhaed
542																																																											Izurn
543																																																											Vymmiemp
544																																																											Vyrzhoy
545																																																											Puklulshy
546																																																											Loeqimm
547																																																											Eulwoqiol
548																																																											Xûrhubhemm
549																																																											Lheikintlyp
550																																																											Dhuuntlavl
551																																																											Stheglyphirt
552																																																											Ibadrûhn
553																																																											Aukhorgh
554																																																											Kheornyf
555																																																											Bhûspol
556																																																											Bhizothgûmp
557																																																											Ychionayv
558																																																											Rhûttiogn
559																																																											Libiiaz
560																																																											Esyrhthyhh
561																																																											Yxmaeuir
562																																																											Klydoisûd
563																																																											Jhiorsk
564																																																											Thoyntius
565																																																											Shidhyshtyqop
566																																																											Raxookhohh
567																																																											Szchomurr
568																																																											Fzuajun
569																																																											Jeugglerhekh
570																																																											Hliinguezs
571																																																											Sullshyx
572																																																											Hraeuibl
573																																																											Kuaphuf
574																																																											Mhejirthlut
575																																																											Yrraigyk
576																																																											Grumfyth
577																																																											Glynsrûch
578																																																											Orlgikoav
579																																																											Phrildlar
580																																																											Lupof
581																																																											Rhinsprud
582																																																											Cidhul
583																																																											Tzyrncyps
584																																																											Thudluirh
585																																																											Eaerwytch
586																																																											Schemfi
587																																																											Bhyesblûg
588																																																											Vruchru
589																																																											Xerskoéhh
590																																																											Alkythcûndh
591																																																											Bizoéw
592																																																											Bhahliorr
593																																																											Yzincyrd
594																																																											Nchesmuagg
595																																																											Zhuerchouth
596																																																											Nhufoav
597																																																											Yctullmegh
598																																																											Flualschoh
599																																																											Imyzaps
600																																																											Uisowunm
601																																																											Ehlohghaut
602																																																											Szilndeior
603																																																											Gheelbroun
604																																																											Welgest
605																																																											Cerlthomr
606																																																											Ghairngevbik
607																																																											Unaurktir
608																																																											Oszaek
609																																																											Vheruulfein
610																																																											Qhelsaeg
611																																																											Outhisbluid
612																																																											Eaenrerth
613																																																											Ugoureim
614																																																											Urthriien
615																																																											Yndeior
616																																																											Eubops
617																																																											Jaolgryshtiph
618																																																											Tzsiph
619																																																											Sriissysh
620																																																											Vheniunglykh
621																																																											Ulstuild
622																																																											Mrenveirjok
623																																																											Proulpirt
624																																																											Jhokegheemd
625																																																											Gylzad
626																																																											Pelaxiunm
627																																																											Nheemympam
628																																																											Piyanilef
629																																																											Scain
630																																																											Jhahuutheim
631																																																											Proulemn
632																																																											Siunniomut
633																																																											Plaimtix
634																																																											Kluezbalph
635																																																											Chrymmgil
636																																																											Nchiaveil
637																																																											Ethscauth
638																																																											Scirjyos
639																																																											Sklasherth
640																																																											Ygmerfyrst
641																																																											Fzethocc
642																																																											Lhiolqesyrth
643																																																											Droothmest
644																																																											Fzooragn
645																																																											Omthaeuil
646																																																											Phlakurnd
647																																																											Isythchior
648																																																											Aithtlylshom
649																																																											Ulvriimym
650																																																											Eighaem
651																																																											Doanu
652																																																											Mot
653																																																											Owlauosz
654																																																											Oomglagnol
655																																																											Nphrylull
656																																																											Xriyeoss
657																																																											Uganurzeth
658																																																											Amwusomthy
659																																																											Cutha
660																																																											Thathtodt
661																																																											Stierldeh
662																																																											Yorlshad
663																																																											Nhispal
664																																																											Indjaesk
665																																																											Nhasobeyg
666																																																											Uzstyrzalb
667																																																											Yulann
668																																																											Elnshedeph
669																																																											Ellbaugn
670																																																											Klielyphat
671																																																											Doardheszor
672																																																											Cviusliadd
673																																																											Piyar
674																																																											Irdandlo
675																																																											Dhaerzunn
676																																																											Stathvolm
677																																																											Qezlauos
678																																																											Rratholp
679																																																											Hlarhthovrumd
680																																																											Brinvyn
681																																																											Cthirdhadelp
682																																																											Chsepham
683																																																											Trievyt
684																																																											Yalouv
685																																																											Tsulhoul
686																																																											Whelauos
687																																																											Goumeila
688																																																											Ferkaess
689																																																											Ghurnduan
690																																																											Dhullauos
691																																																											Oolpherf
692																																																											Zzartirs
693																																																											Bhaerlstih
694																																																											Mruelorsh
695																																																											Mhesulgiankh
696																																																											Splyon
697																																																											Luvbengh
698																																																											Onivvaeth
																																																											Nelshiersh
																																																											Skleem
